gyp	0.1+20220404git9ecf45e-2
gzip	1.12-1ubuntu3.2
handlebars	3:4.7.7+~4.1.0-1
hdparm	9.65+ds-1build1
heif-gdk-pixbuf:amd64	1.17.6-1ubuntu4.4
heif-thumbnailer	1.17.6-1ubuntu4.4
hicolor-icon-theme	0.17-2
hostname	3.23+nmu2ubuntu2
hplip	3.23.12+dfsg0-0ubuntu5.1
hplip-data	3.23.12+dfsg0-0ubuntu5.1
humanity-icon-theme	0.6.16
hunspell-en-au	1:2020.12.07-2
hunspell-en-ca	1:2020.12.07-2
hunspell-en-gb	1:24.2.1-1
hunspell-en-us	1:2020.12.07-2
hunspell-en-za	1:24.2.1-1
hunspell-fr-classical	1:7.0-1
hwdata	0.379-1
hyphen-en-ca	0.10ubuntu2
hyphen-en-gb	1:24.2.1-1
hyphen-en-us	2.8.8-7build3
i965-va-driver:amd64	2.4.1+dfsg1-1ubuntu0.2
ibus	1.5.29-2
ibus-data	1.5.29-2
ibus-gtk:amd64	1.5.29-2
ibus-gtk3:amd64	1.5.29-2
ibus-gtk4:amd64	1.5.29-2
ibus-table	1.17.4-2
ibus-table-cangjie-big	1.8.12-1
ibus-table-cangjie3	1.8.12-1
ibus-table-cangjie5	1.8.12-1
ibverbs-providers:amd64	50.0-2ubuntu0.2
ieee-data	20220827.1
iio-sensor-proxy	3.5-1build2
im-config	0.57-2
indicator-applet	12.10.2+20.10.20200915-0ubuntu4
indicator-application	12.10.1+19.04.20190308.1-0ubuntu5
indicator-appmenu	15.02.0+20.10.20200617.2-0ubuntu4
indicator-bluetooth	0.0.6+17.10.20170605-0ubuntu5
indicator-common	16.10.0+18.04.20180321.1-0ubuntu8
indicator-datetime	15.10+21.04.20210304-0ubuntu6
indicator-keyboard	0.0.0+19.10.20220803-0ubuntu3
indicator-messages	13.10.1+18.10.20180918-0ubuntu7
indicator-power	12.10.6+17.10.20170829.1-0ubuntu9
indicator-printers	0.1.7+17.10.20171101-0ubuntu7
indicator-session	17.3.20+21.10.20210613.1-0ubuntu3
indicator-sound	12.10.2+18.10.20180612-0ubuntu7
inetutils-telnet	2:2.5-3ubuntu4.2
info	7.1-3build2
init	1.66ubuntu1
init-system-helpers	1.66ubuntu1
initramfs-tools	0.142ubuntu25.8
initramfs-tools-bin	0.142ubuntu25.8
initramfs-tools-core	0.142ubuntu25.8
inputattach	1:1.8.1-2build1
install-info	7.1-3build2
intel-media-va-driver:amd64	24.1.0+dfsg1-1ubuntu0.2
intel-microcode	3.20260210.0ubuntu0.24.04.1
ipp-usb	0.9.24-0ubuntu3.3
iproute2	6.1.0-1ubuntu6.2
iptables	1.8.10-3ubuntu2
iputils-ping	3:20240117-1ubuntu0.1
iputils-tracepath	3:20240117-1ubuntu0.1
iso-codes	4.16.0-1
iucode-tool	2.3.1-3build1
javascript-common	11+nmu1
jayatana	2.7-0ubuntu8
jq	1.7.1-3ubuntu0.24.04.2
kaccounts-providers	4:23.08.5-0ubuntu3
kactivities-bin	5.115.0-0ubuntu3
kactivitymanagerd	5.27.11-0ubuntu3
kate	4:23.08.5-0ubuntu3
kate5-data	4:23.08.5-0ubuntu3
kbd	2.6.4-2ubuntu2
kde-baseapps	4:23.08.5+5.146ubuntu3
kde-cli-tools	4:5.27.11-0ubuntu2
kde-cli-tools-data	4:5.27.11-0ubuntu2
kde-config-gtk-style:amd64	4:5.27.11-0ubuntu2
kde-config-screenlocker	5.27.11-0ubuntu2
kde-config-sddm	4:5.27.11-0ubuntu2
kde-plasma-desktop	5:146ubuntu3
kde-style-breeze	4:5.27.11-0ubuntu3
kde-style-oxygen-qt5	4:5.27.11-0ubuntu2
kded5	5.115.0-0ubuntu5
kdegraphics-thumbnailers	4:23.08.5-0ubuntu4
kdialog	4:23.08.5-0ubuntu4
kdoctools5	5.115.0-0ubuntu5
keditbookmarks	23.08.5-0ubuntu4
kerneloops	0.12+git20140509-6ubuntu8
keyboard-configuration	1.226ubuntu1
keyboxd	2.4.4-2ubuntu17.4
kfind	4:23.08.5-0ubuntu3
kgamma5:amd64	4:5.27.11-0ubuntu3
khelpcenter	4:23.08.5-0ubuntu4
khotkeys:amd64	4:5.27.11-0ubuntu2
khotkeys-data	4:5.27.11-0ubuntu2
kimageformat-plugins	5.115.0-0ubuntu7
kinfocenter	4:5.27.11-0ubuntu3
kinit	5.115.0-0ubuntu6
kio	5.115.0-0ubuntu6
kio-extras	4:23.08.5-0ubuntu5
kio-extras-data	4:23.08.5-0ubuntu5
kio-fuse	5.1.0-0ubuntu4
klibc-utils	2.0.13-4ubuntu0.2
kmenuedit	4:5.27.11-0ubuntu3
kmod	31+20240202-2ubuntu7.2
konsole	4:23.08.5-0ubuntu4
konsole-kpart	4:23.08.5-0ubuntu4
kpackagelauncherqml	5.115.0-0ubuntu5
kpackagetool5	5.115.0-0ubuntu5
krb5-locales	1.20.1-6ubuntu2.6
kscreen	4:5.27.11-0ubuntu2
ksshaskpass	4:5.27.11-0ubuntu3
ksystemstats	5.27.11-0ubuntu2
ktexteditor-data	5.115.0-0ubuntu4
ktexteditor-katepart	5.115.0-0ubuntu4
kup-backup	0.9.1-1build5
kuserfeedback-doc	1.3.0-3build3
kwalletmanager	4:23.08.5-0ubuntu4
kwayland-data	4:5.115.0-0ubuntu5
kwayland-integration:amd64	4:5.27.11-0ubuntu3
kwin-common	4:5.27.11-0ubuntu3
kwin-data	4:5.27.11-0ubuntu3
kwin-style-breeze	4:5.27.11-0ubuntu3
kwin-x11	4:5.27.11-0ubuntu3
kwrite	4:23.08.5-0ubuntu3
kwrited	4:5.27.11-0ubuntu3
language-pack-en	1:24.04+20260127
language-pack-en-base	1:24.04+20260127
language-pack-gnome-en	1:24.04+20260127
language-pack-gnome-en-base	1:24.04+20260127
language-selector-common	0.225
language-selector-gnome	0.225
laptop-detect	0.16
layer-shell-qt	5.27.11-0ubuntu3
ldap-utils	2.6.10+dfsg-0ubuntu0.24.04.1
less	590-2ubuntu2.1
liba52-0.7.4:amd64	0.7.4-20build1
libaa1:amd64	1.4p5-51.1
libaacs0:amd64	0.11.1-2build1
libabsl20220623t64:amd64	20220623.1-3.1ubuntu3.2
libaccounts-glib0:amd64	1.26-1build3
libaccounts-qt5-1:amd64	1.16-2build4
libaccountsservice0:amd64	23.13.9-2ubuntu6
libacl1:amd64	2.3.2-1build1.1
libadwaita-1-0:amd64	1.5.0-1ubuntu2
libaio1t64:amd64	0.3.113-6build1.1
libalgorithm-diff-perl	1.201-1
libalgorithm-diff-xs-perl:amd64	0.04-8build3
libalgorithm-merge-perl	0.08-5
libao-common	1.2.2+20180113-1.1ubuntu4
libao4:amd64	1.2.2+20180113-1.1ubuntu4
libaom3:amd64	3.8.2-2ubuntu0.1
libapparmor1:amd64	4.0.1really4.0.1-0ubuntu0.24.04.5
libappimage1.0abi1t64:amd64	1.0.4-5-3.1ubuntu2
libappmenu-gtk3-parser0:amd64	0.7.6-2.1ubuntu2
libappstream5:amd64	1.0.2-1build6
libappstreamqt5-3:amd64	1.0.2-1build6
libapr1t64:amd64	1.7.2-3.1ubuntu0.1
libaprutil1-dbd-sqlite3:amd64	1.6.3-1.1ubuntu7
libaprutil1-ldap:amd64	1.6.3-1.1ubuntu7
libaprutil1t64:amd64	1.6.3-1.1ubuntu7
libapt-pkg6.0t64:amd64	2.8.3
libarchive13t64:amd64	3.7.2-2ubuntu0.7
libargon2-1:amd64	0~20190702+dfsg-4build1
libaribb24-0t64:amd64	1.0.3-2.1build2
libasan8:amd64	14.2.0-4ubuntu2~24.04.1
libasound2-data	1.2.11-1ubuntu0.2
libasound2-plugins:amd64	1.2.7.1-1ubuntu5
libasound2t64:amd64	1.2.11-1ubuntu0.2
libaspell15:amd64	0.60.8.1-1build1
libass9:amd64	1:0.17.1-2build1
libassuan0:amd64	2.5.6-1build1
libasyncns0:amd64	0.8-6build4
libatasmart4:amd64	0.19-5build3
libatk-adaptor:amd64	2.52.0-1build1
libatk-bridge2.0-0t64:amd64	2.52.0-1build1
libatk1.0-0t64:amd64	2.52.0-1build1
libatkmm-1.6-1v5:amd64	2.28.4-1build4
libatm1t64:amd64	1:2.5.1-5.1build1
libatomic1:amd64	14.2.0-4ubuntu2~24.04.1
libatopology2t64:amd64	1.2.11-1ubuntu0.2
libatspi2.0-0t64:amd64	2.52.0-1build1
libattr1:amd64	1:2.5.2-1build1.1
libaudit-common	1:3.1.2-2.1build1.1
libaudit1:amd64	1:3.1.2-2.1build1.1
libauthen-sasl-perl	2.1700-1
libavahi-client3:amd64	0.8-13ubuntu6.2
libavahi-common-data:amd64	0.8-13ubuntu6.2
libavahi-common3:amd64	0.8-13ubuntu6.2
libavahi-core7:amd64	0.8-13ubuntu6.2
libavahi-glib1:amd64	0.8-13ubuntu6.2
libavahi-ui-gtk3-0:amd64	0.8-13ubuntu6.2
libavc1394-0:amd64	0.5.4-5build3
libavcodec60:amd64	7:6.1.1-3ubuntu5
libavfilter9:amd64	7:6.1.1-3ubuntu5
libavformat60:amd64	7:6.1.1-3ubuntu5
libavif16:amd64	1.0.4-1ubuntu3
libavutil58:amd64	7:6.1.1-3ubuntu5
libayatana-appindicator3-1	0.5.93-1build3
libayatana-ido3-0.4-0:amd64	0.10.1-1build2
libayatana-indicator3-7:amd64	0.9.4-1build1
libbabeltrace1:amd64	1.5.11-3build3
libbamf3-2t64:amd64	0.5.6+22.04.20220217-0ubuntu5
libbasicobjects0t64:amd64	0.6.2-2.1build1
libbdplus0:amd64	0.2.0-3build1
libbinutils:amd64	2.42-4ubuntu2.10
libblas3:amd64	3.12.0-3build1.1
libblkid1:amd64	2.39.3-9ubuntu6.5
libblockdev-crypto3:amd64	3.1.1-1ubuntu0.1
libblockdev-fs3:amd64	3.1.1-1ubuntu0.1
libblockdev-loop3:amd64	3.1.1-1ubuntu0.1
libblockdev-mdraid3:amd64	3.1.1-1ubuntu0.1
libblockdev-nvme3:amd64	3.1.1-1ubuntu0.1
libblockdev-part3:amd64	3.1.1-1ubuntu0.1
libblockdev-swap3:amd64	3.1.1-1ubuntu0.1
libblockdev-utils3:amd64	3.1.1-1ubuntu0.1
libblockdev3:amd64	3.1.1-1ubuntu0.1
